Period,Brand_Sales_Value,V1_Sales_Value,V2_Sales_Value,V3_Sales_Value,Brand_Sales_Volume,V1_Sales_Volume,V2_Sales_Volume,V3_Sales_Volume,Avg_Price_per_SU_Brand,Avg_Price_per_SU_V1,Sales_Avg_Price_per_SU_V2,Sales_Avg_Price_per_Su_v3,Avg_Price_per_USD_Brand,Avg_Price_per_USD_V1,Avg_Price_per_USD_V2,Avg_Price_per_USD_V3,Brand_Distribution_WTD,V1_Distribution_WTD,V2_Distribution_WTD,V3_Distribution_WTD,Brand_Distribution_NUMD,V1_Distribution_NUMD,V2_Distribution_NUMD,V3_Distribution_NUMD,Brand_Shipment_SSU,V1_Shipment_SSU,V2_Shipment_SSU,V3_Shipment_SSU,Brand_SEM_Yahoo_Imp_Digital,Brand_SEM_Yahoo_Clicks_Digital,Brand_SEM_Yahoo_USM_Digital_AOR,Brand_Social_FB_Likes_Digital,Brand_Social_FB_PTAT_Digital,Brand_Birth_Rate_No_of_Births_CPA,Brand_Yt_Channel_views_P&G/Digital,Brand_CRM_Pampers_Baby_Club_Elements_P&G,V1_TV_Total_GRP_AOR,V1_TV_ISP_GRP_AOR,V1_TV_Total_Spends_AOR,V1_TV_ISP_Spends_AOR,V1_iMedia_Total_Imp_Digital,V1_imedia_Total_Clicks_Digital,V1_iMedia_Parenting_Imp_Digital,V1_iMedia_Parenting_Clicks_Digital,V1_iMedia_BBK_Imp_Digital,V1_iMedia_BBK_Clicks_Digital,V1_iMedia_Total_Spends_Digital AOR,V1_iMedia_Parenting_Spends_Digital AOR,V1_iMedia_BBK_Spends_Digital AOR
2011-07-01,28518.3,12706.5,12196.9,3614.4,85935.6,36127.4,40971.6,8835.6,331.85664613966736,351.71365777775316,297.69157172285196,409.0723889718864,43.141363998156756,45.72277551110791,38.699904323970756,53.17941056634524,100,100,99,96,48,46,46,40,111110.765,43869.0272,59022.526600000005,8219.2112,66442189.0,24418.0,5.037170743028068,74109.0,172.13333333333333,8128.0,8.360343674435354,40.458477843245966,200.0,200.0,9.178439665256906,9.178439665256906,2108173.0,2549.0,2108173.0,2549.0,2108173.0,2549.0,14.18238547723727,14.18238547723727,14.18238547723727
2011-08-01,31712.5,14190.5,13250.5,4271.6,95135.2,40373.7,44402.1,10359.4,333.34139203996,351.47880922481716,298.42057019825637,412.3404830395583,43.3343809651948,45.69224519922623,38.79467412577333,53.60426279514258,100,99,99,96,48,46,46,40,98568.47400000002,48970.12800000001,40447.528600000005,9150.817400000002,74218274.0,23888.0,4.619847603821508,75408.0,76277.06451612903,8531.0,8.360343674435354,22.657005453771873,100.0,100.0,3.856487254309625,3.856487254309625,507787.0,357.0,507787.0,357.0,507787.0,357.0,0.7032587839952367,0.7032587839952367,0.7032587839952367
2011-09-01,28436.8,12422.5,11946.7,4067.6,85814.0,36034.5,40029.2,9750.3,331.3771645652225,344.73906950283754,298.4496317688088,417.1769073772089,43.07903139347892,44.81607903536888,38.79845212994514,54.232997959037164,100,99,99,95,48,46,46,39,122461.0034,54010.9639,58820.36019999999,9629.6793,62093623.0,22417.0,4.6243859671742245,77106.0,77099.53333333334,8099.0,8.360343674435354,22.240559043849355,100.0,100.0,5.321952410947282,5.321952410947282,3076266.0,2077.0,3076266.0,2077.0,3076266.0,2077.0,7.032587839952366,7.032587839952366,7.032587839952366
2011-10-01,29048.8,12652.5,12690.9,3705.5,88047.7,36697.8,42431.3,8918.6,329.9211677306733,344.7754361296862,299.092886619076,415.48000807301594,42.889751804987526,44.82080669685921,38.88207526047988,54.01240104949208,99,99,99,94,48,46,46,38,134933.0212,60733.50579999999,63417.0106,10782.5048,55363384.0,18600.0,3.597168680135635,77227.0,77205.25806451614,8352.0,8.360343674435354,26.985211639870556,91.0,91.0,3.856487254309625,3.856487254309625,3250974.0,2130.0,3250974.0,2130.0,3250974.0,2130.0,10.31446216526347,10.31446216526347,10.31446216526347
2011-11-01,30463.54,13737.66,12723.97,4001.9,92028.93,39742.8,42395.0,9891.13,331.0213429624793,345.6641202934871,300.12902464913316,404.59482384722475,43.03277458512231,44.936335638153324,39.01677320438731,52.59732710013922,100,100,99,93,48,46,45,39,122066.2618,52525.5475,60432.85129999999,9107.863,58743642.0,21662.0,4.457098283931358,77366.0,77464.53333333334,7816.0,8.360343674435354,41.31918489962739,686.0,686.0,47.16164723425593,47.16164723425593,867203.0,1743.0,867203.0,1743.0,867203.0,1743.0,5.127854449882567,5.127854449882567,5.127854449882567
2011-12-01,35746.67,16397.82,14855.71,4493.14,107377.05,47007.08,49169.97,11200.01,332.90791654268764,348.8372389861272,302.12973487679574,401.1728560956642,43.27802915054939,45.348841068196535,39.27686553398345,52.152471292436346,100,100,99,90,48,46,46,39,170053.41009999998,68665.3748,86555.48009999999,14832.5552,61921696.0,26724.0,5.05737419579428,78400.0,76787.25,7413.0,8.360343674435354,29.599321824112636,432.0,432.0,36.328579141545944,36.328579141545944,4182754.0,4797.0,4182754.0,4797.0,4182754.0,4797.0,19.870435993294944,19.870435993294944,19.870435993294944
2012-01-01,36125.75,16906.6,14627.51,4591.64,105278.22,47509.5,46691.89,11076.82,343.1455243069269,355.857249602711,313.27731646759213,414.5269129587734,44.6089181599005,46.26144244835243,40.72605114078698,53.88849868464054,100,99,99,95,47,46,46,39,95095.78420000001,46851.7328,39958.5075,8285.5439,47295074.0,17402.0,4.059437088227331,80661.0,4276.548387096775,7582.0,8.360343674435354,18.14495171542399,346.6,346.6,26.08573613914206,26.08573613914206,4094447.0,5100.0,4094447.0,5100.0,4094447.0,5100.0,19.870435993294944,19.870435993294944,19.870435993294944
2012-02-01,34421.38,15525.63,14466.9,4428.79,99072.59,43680.22,45315.77,10076.51,347.4359557976631,355.43845704073834,319.24647865411976,439.51626108642773,45.16667425369621,46.20699941529599,41.50204222503557,57.137113941235604,100,100,99,96,47,46,46,39,105309.55369999999,53490.326199999996,42741.5032,9077.7243,43052325.0,20386.0,4.488196387359627,82749.0,197.7,7100.0,8.360343674435354,20.434840963886487,306.0,306.0,14.717567584939122,14.717567584939122,1452344.0,1632.0,1452344.0,1632.0,1452344.0,1632.0,5.768836256117887,5.768836256117887,5.768836256117887
2012-03-01,38271.47,16724.76,16834.18,4712.53,109044.77,46952.8,51605.77,10486.21,350.9702482750892,356.2036768840196,326.207321390612,449.4025963622701,45.6261322757616,46.30647799492255,42.40695178077956,58.42233752709512,100,100,99,96,47,47,46,39,137645.5904,60398.514599999995,66045.5183,11201.557499999999,47420881.0,31252.0,8.052938977063214,85890.0,171.36666666666667,7678.0,8.360343674435354,40.39269220355591,503.0,503.0,33.06171279453922,33.06171279453922,1242719.0,7325.0,1242719.0,7325.0,1242719.0,7325.0,7.62841044928692,7.62841044928692,7.62841044928692
2012-04-01,38711.49,19764.63,14809.28,4137.57,114207.34,60557.1,44514.91,9135.33,338.95798641313246,326.38006113238583,332.6813420492145,452.9195989635842,44.06453823370722,42.42940794721016,43.24857446639788,58.87954786526595,100,100,99,96,47,46,46,39,140644.3039,72711.013,59742.1514,8191.139499999999,34139015.0,24699.0,6.870811361380073,87809.0,134.86666666666667,7071.0,8.360343674435354,63.851587782519566,560.0,560.0,35.788256996310636,35.788256996310636,10718519.0,15455.0,10718519.0,15455.0,10718519.0,15455.0,45.77046269572153,45.77046269572153,45.77046269572153
2012-05-01,35922.97,15524.19,16262.09,4136.7,100063.27,41998.43,49129.05,8935.8,359.0025590808695,369.63738882620135,331.0076217634984,462.9356073323038,46.670332680513035,48.052860547406176,43.03099082925479,60.18162895319949,100,99,99,95,47,45,46,39,119290.2542,47562.541399999995,61576.9494,10150.7634,37408993.0,31137.0,8.424259615012701,89096.0,164.74193548387098,7623.0,8.360343674435354,19.339874421423136,382.0,382.0,31.4457623632554,31.4457623632554,10718519.0,15455.0,10718519.0,15455.0,10718519.0,15455.0,45.77046269572153,45.77046269572153,45.77046269572153
2012-06-01,32949.22,15183.67,13816.7,3948.84,91388.82,41335.48,41478.47,8574.87,360.5388492815642,367.32777749284634,333.1053435673977,460.51310398874847,46.87005040660335,47.752611074070025,43.3036946637617,59.8667035185373,100,99,99,95,47,45,46,39,108467.5635,46379.0886,53866.7761,8221.698799999998,29733782.0,28208.0,8.129085493998272,89388.0,1920.0333333333333,7526.0,8.360343674435354,42.76250048349041,370.0,370.0,24.24650537979972,24.24650537979972,10718519.0,15455.0,10718519.0,15455.0,10718519.0,15455.0,45.77046269572153,45.77046269572153,45.77046269572153
2012-07-01,35030.55,16761.13,14246.37,4023.04,96682.91,44971.97,42833.73,8877.2,362.3241170543998,372.7017073079076,332.5969977398653,453.1879421439192,47.102135217071975,48.45122195002799,43.23760970618249,58.9144324787095,100,100,99,95,47,45,46,39,121557.7139,63649.1326,49081.489299999994,8827.092,29671341.0,26274.0,7.799938113227008,130143.0,175.5483870967742,7534.0,8.360343674435354,12.700970848751306,545.0,545.0,13.906470906004017,13.906470906004017,10718519.0,15455.0,10718519.0,15455.0,10718519.0,15455.0,45.77046269572153,45.77046269572153,45.77046269572153
2012-08-01,39951.0,19371.01,15950.59,4629.39,110408.64,52502.49,47955.38,9950.77,361.8466815640515,368.95412008078097,332.61314997399666,465.2293239618642,47.040068603326695,47.964035610501526,43.23970949661957,60.47981211504235,100,99,99,95,48,46,47,39,133912.2518,64814.673099999985,59367.89210000001,9729.6866,37319180.0,37045.0,10.860135893039027,130396.0,401.64516129032256,7948.0,60.56934367443535,35.53467980041516,236.0,236.0,7.328674692596595,7.328674692596595,10718519.0,15455.0,10718519.0,15455.0,10718519.0,15455.0,45.77046269572153,45.77046269572153,45.77046269572153
2012-09-01,35746.9,16141.14,15150.25,4455.51,100324.7,44838.66,45848.21,9637.82,356.31205475820013,359.982657822513,330.44365308918276,462.294377774227,46.32056711856602,46.79774551692669,42.95767490159376,60.09826911064951,100,100,99,96,49,47,47,40,146039.72530000002,65991.3306,69148.14550000001,10900.249200000002,40654275.0,39078.0,11.752762341898634,132859.0,433.03333333333336,8164.0,11.575343674435354,30.80115908768582,256.0,256.0,8.803323558162267,8.803323558162267,10718519.0,15455.0,10718519.0,15455.0,10718519.0,15455.0,45.77046269572153,45.77046269572153,45.77046269572153
2012-10-01,37889.04,17239.46,15801.65,4847.94,106938.84,48281.83,47990.13,10666.89,354.30569473168026,357.0589598612977,329.26874755288225,454.48485922326006,46.05974031511843,46.4176647819687,42.80493718187469,59.08303169902381,100,100,99,95,50,47,48,40,169245.4105,79463.8594,76499.67850000001,13281.8726,24302214.0,28078.0,7.997833962945295,127189.0,138.58064516129033,8599.0,19.893543674435353,19.941723288766262,377.0,377.0,12.720379945464842,12.720379945464842,10718519.0,15455.0,10718519.0,15455.0,10718519.0,15455.0,45.77046269572153,45.77046269572153,45.77046269572153
2012-11-01,36073.25,16847.02,14636.72,4589.51,100592.43,46367.31,44059.1,10166.02,358.6079986336944,363.338308821452,332.20651352388046,451.45592867218437,46.61903982238027,47.23398014678877,43.18684675810446,58.68927072738397,100,100,99,95,50,47,49,40,142928.87929999997,70157.29609999999,62254.7023,10516.8809,22699408.0,44075.0,10.000206289243302,127641.0,127787.06666666667,7791.0,56.692114932860015,59.04870102242106,469.0,469.0,17.38528836754644,17.38528836754644,8194710.571428571,12176.57142857143,5565672.0,9259.0,5565672.0,9259.0,26.565362838834687,19.38,19.38
2012-12-01,43180.68,20517.52,17222.63,5440.52,119023.78,55693.4,51320.96,12009.42,362.7903600440181,368.40128273727225,335.586668682737,453.02104514622687,47.16274680572235,47.892166755845395,43.62626692875581,58.89273586900949,100,100,99,95,50,48,50,41,176523.21279999998,81340.55459999999,80541.93650000001,14640.721700000002,16879155.0,34910.0,8.791957298126636,128887.0,129250.48387096774,6942.0,10.415693674435355,9.669693531542915,455.0,455.0,18.725472037865934,18.725472037865934,1555831.4285714286,1673.4285714285713,1324149.0,1435.0,1324149.0,1435.0,3.352560473139114,2.8,2.8
2013-01-01,44101.26,21491.2,17100.54,5509.52,122412.19,58272.67,51942.0,12197.51,360.26853208001586,368.804106624941,329.22374956682455,451.69218963542556,46.834909170402064,47.944533861242334,42.79908744368719,58.719984652605326,100,99,99,88,50,47,49,41,142659.4308,68288.2009,63651.568,10719.661900000001,24203786.0,40715.0,9.19055968850324,129577.0,125230.2,5346.0,23.862986620877706,20.775147303412794,456.0,456.0,17.784426609044612,17.784426609044612,1555831.4285714286,1673.4285714285713,1324149.0,1435.0,1324149.0,1435.0,3.352560473139114,2.8,2.8
2013-02-01,38461.35,18167.97,15504.09,4789.29,105720.02,48490.25,46800.38,10429.4,363.8038471805056,374.6726403761581,331.28128446820307,459.21050108347555,47.29450013346573,48.70744324890055,43.0665669808664,59.69736514085182,100,99,99,89,50,47,49,41,83149.9727,39345.4116,36266.7311,7537.829999999999,21606761.0,35893.0,8.471267776330887,129042.0,129087.3,4139.0,27.78669367443535,29.86865692809531,261.0,261.0,7.248236610588053,7.248236610588053,1555831.4285714286,1673.4285714285713,1324149.0,1435.0,1324149.0,1435.0,3.352560473139114,2.8,2.8
2013-03-01,41136.28,19216.38,16618.31,5301.59,113143.15,51377.71,50085.19,11680.25,363.5772912456477,374.0217304352413,331.80087766463504,453.8935382376233,47.2650478619342,48.62282495658137,43.134114096402556,59.006159970891034,100,100,99,89,50,47,49,41,147194.82809999998,67958.4971,67318.0695,11918.2615,30113887.0,34754.0,9.018192132643984,128690.0,128836.3,4578.0,58.845204504295936,57.86584236923196,171.0,171.0,45.35550496475789,45.35550496475789,15213483.0,14871.5,14666338.5,14240.0,14666338.5,14240.0,19.48,17.55,17.55
2013-04-01,41177.63,19761.32,16168.48,5247.83,111908.76,52510.97,47860.59,11537.2,367.95716438999057,376.3274607191602,337.82450237241125,454.8616648753597,47.83443137069877,48.922569893490824,43.917185308413465,59.13201643379676,100,100,99,89,50,47,48,40,148710.5469,75736.7442,61790.943699999996,11182.859,34150086.0,37424.0,9.178339629452946,129612.0,384.76666666666665,4346.0,59.470994235221475,55.60215572259254,567.0,567.0,33.90588439574005,33.90588439574005,14735149.3,15449.9,13093328.0,13604.6,13093328.0,13604.6,18.862617810497543,14.633395263083251,14.633395263083251
2013-05-01,46047.01,22749.22,17365.73,5932.06,128288.77,63628.41,51644.0,13016.35,358.9325082780044,357.5324293031996,336.2584230501123,455.7391280965862,46.66122607614057,46.47921580941595,43.7135949965146,59.24608665255621,100,100,99,88,49,47,48,41,149349.8813,72090.7746,62253.28119999999,15005.825499999997,27084120.0,30084.0,8.915457510862417,130432.0,723.7741935483871,4480.0,152.46868523691927,82.35511532858008,433.0,433.0,25.82042753511343,25.82042753511343,6768747.6,7741.6,4579394.0,5314.0,4579394.0,5314.0,17.175106690218023,12.576790526166501,12.576790526166501
2013-06-01,36688.7,17059.48,14488.48,5140.74,100126.05,45839.3,43191.57,11095.18,366.42512113480956,372.1583881080208,335.4469402246781,463.3309238786572,47.635265747525246,48.380590454042704,43.60810222920815,60.23302010422544,100,100,99,91,49,48,48,40,96753.5325,42625.382099999995,45810.634000000005,8317.5164,24251793.0,22634.0,8.42150049638349,133108.0,841.9666666666667,4404.0,64.68519267119412,100.76862469540104,467.0,467.0,24.53659515357309,24.53659515357309,6371803.6,4213.6,4182450.0,1786.0,4182450.0,1786.0,10.725106690218022,6.126790526166501,6.126790526166501
2013-07-01,35467.23,16154.0,14188.17,5125.05,96628.2,43498.1,42069.17,11060.94,367.04843927549103,371.372542708762,337.25813939281426,463.3466956696266,47.71629710581384,48.27843055213906,43.843558121065854,60.23507043705146,100,100,99,87,49,48,48,39,134898.6683,65433.300200000005,57380.39909999999,12084.969000000001,18941316.0,17726.0,6.3527417129743045,135313.0,148.09677419354838,4662.0,18.282871373131194,19.814333234486405,510.0,510.0,15.126612601694157,15.126612601694157,6371803.6,4213.6,4182450.0,1786.0,4182450.0,1786.0,10.725106690218022,6.126790526166501,6.126790526166501
2013-08-01,41718.24,20324.68,15692.67,5700.89,115667.68,56592.4,46749.84,12325.44,360.67326672411866,359.14151016744296,335.67323438967924,462.53034374432065,46.88752467413543,46.688396321767584,43.6375204706583,60.128944686761685,100,100,99,89,49,48,48,39,128257.4586,59790.86519999999,55311.993700000006,13154.5997,20797255.0,17942.0,6.372042650301053,135397.0,612.8387096774194,5017.0,49.76993036108513,48.76929771405732,510.0,510.0,15.126612601694157,15.126612601694157,6371803.6,4213.6,4182450.0,1786.0,4182450.0,1786.0,10.725106690218022,6.126790526166501,6.126790526166501
2013-09-01,40628.91,18972.2,15575.03,6081.68,111312.57,51072.55,47004.77,13235.24,364.9984004501917,371.47547948947135,331.3499885224415,459.5065899825013,47.44979205852492,48.29181233363128,43.075498507917395,59.73585669772517,100,100,99,85,49,48,47,41,163588.6971,74440.7194,72806.9289,16341.0488,20132313.0,17083.0,6.902695942548446,137834.0,324.8,4966.0,26.16990718042522,27.880209125720402,510.0,510.0,15.126612601694157,15.126612601694157,6371803.6,4213.6,4182450.0,1786.0,4182450.0,1786.0,10.725106690218022,6.126790526166501,6.126790526166501
2013-10-01,43126.66,20505.6,16261.02,6360.04,119030.77,55110.58,49923.91,13996.27,362.3152231981697,372.081005135493,325.7160747225127,454.40963913957074,47.100979015762064,48.37053066761409,42.34308971392665,59.0732530881442,100,100,99,86,49,48,48,40,183097.63229999997,88458.8982,78307.67419999998,16331.0599,2373549.0,8506.0,3.7279044880803496,138406.0,120.6774193548387,5147.0,15.952742357628189,18.417912352857748,510.0,510.0,15.126612601694157,15.126612601694157,6371803.6,4213.6,4182450.0,1786.0,4182450.0,1786.0,10.725106690218022,6.126790526166501,6.126790526166501
2013-11-01,36153.02,16913.04,13500.13,5739.85,99598.59,46015.18,41003.11,12580.3,362.98726718922427,367.55348995700984,329.2464888638935,456.2570049998808,47.188344734599156,47.78195369441128,42.80204355230615,59.313410649984505,100,99,99,89,49,48,48,41,112582.0056,55270.5018,48475.477300000006,8836.0265,2476246.0,8549.0,4.080530163355294,138735.0,286.6666666666667,4991.0,72.17137082885914,70.2326968450639,615.0,600.0,51.385294155568,46.36253787341589,4069701.0,9617.0,4069701.0,9617.0,4069701.0,9617.0,25.747476180038937,25.747476180038937,25.747476180038937
2013-12-01,42184.21,20601.35,14799.36,6783.5,117358.55,58514.35,44188.42,14655.78,359.4472665178634,352.07346573960064,334.91489399258904,462.85492822626975,46.728144647322246,45.76955054614808,43.53893621903658,60.17114066941507,100,99,99,89,49,48,48,40,144990.5007,71536.9476,59296.3678,14157.1853,1028331.0,5914.0,3.2641404829746907,140669.0,260.38709677419354,5008.0,37.21040756860499,32.913652479983504,697.0,418.0,26.204002011320117,24.230200745219886,1268684.0,191.5,1268684.0,191.5,1268684.0,191.5,3.829244078854063,3.829244078854063,3.829244078854063
2014-01-01,46926.17,21816.02,17594.81,7515.34,126782.14,57720.71,52747.34,16314.09,370.1323388294282,377.95827528802056,333.5677211400613,460.66559642615675,48.117204047825666,49.13457578744267,43.36380374820797,59.88652753540038,100,99,99,84,51,50,50,41,99778.83889999999,47200.4782,41161.9818,11416.378899999998,787896.0,6198.0,3.364456363378502,143350.0,1927.655172413793,5008.0,27.30859866980275,28.592088807519247,348.0,338.0,19.667637085648714,17.689838965459447,1268684.0,191.5,1268684.0,191.5,1268684.0,191.5,3.829244078854063,3.829244078854063,3.829244078854063
2014-02-01,35447.44,15705.16,13958.23,5784.05,95311.13,41250.55,41593.85,12466.72,371.9129130039692,380.7260751674826,335.58398657493836,463.9592450941387,48.348678690515996,49.49438977177274,43.62591825474199,60.31470186223803,100,99,99,87,51,50,50,41,101271.4026,50453.8168,39998.0661,10819.5197,854574.0,7384.0,3.9889261355578176,112075.0,211.73333333333332,5008.0,23.048656541302975,23.00283905571099,358.0,326.0,15.903376697051351,14.296899214811567,1268684.0,191.5,1268684.0,191.5,1268684.0,191.5,3.829244078854063,3.829244078854063,3.829244078854063
2014-03-01,44823.72,21513.76,16205.31,7104.66,123739.05,60311.16,47868.91,15558.99,362.24393188730636,356.7127543227489,338.5351786786037,456.6273260667948,47.09171114534983,46.37265806195735,44.009573228218485,59.36155238868333,100,99,100,87,51,50,49,41,143094.2969,69364.46289999998,60797.2291,12932.6049,1098281.0,8009.0,5.156871365763721,113033.0,355.2,5008.0,68.56700799555006,75.09206817859493,662.0,636.0,49.586108998078934,47.044238728226816,9250579.0,58615.0,5515397.0,15801.0,5515397.0,15801.0,19.32775492837895,10.983483967457872,10.983483967457872
2014-04-01,42517.58,19036.24,16624.33,6857.01,113500.23,49750.46,48933.14,14816.64,374.60346996653664,382.63445202315717,339.7356065848217,462.7911591291953,48.698451095649766,49.74247876301043,44.16562885602682,60.162850686795394,100,99,99,87,51,50,50,42,145492.6571,70326.6735,60202.97640000001,14963.007199999998,1485529.0,10588.0,6.466004822011063,116138.0,103.63333333333334,5008.0,29.88852451618726,22.887349312154306,517.0,505.0,34.232651719291916,32.50330320650843,3009800.0,1942.0,3009800.0,1942.0,3009800.0,1942.0,1.6866724255747088,1.6866724255747088,1.6866724255747088
2014-05-01,44552.97,20625.25,16998.48,6929.25,123357.02,57588.11,50888.52,14880.4,361.17093295541673,358.1511878059551,334.0336877551165,465.6628854063063,46.95222128420418,46.559654414774165,43.424379408165144,60.536175102819826,100,99,99,90,51,49,50,42,142729.6054,66708.06760000001,60546.551,15474.986799999999,1495807.0,10341.0,6.019557509573108,116193.0,670.9677419354839,5008.0,121.2481232980818,128.72960121710653,326.0,314.0,29.4048555330643,28.01936540271528,6905732.0,60041.0,1509125.0,8374.0,1509125.0,8374.0,14.18238547723727,7.9937081780791885,7.9937081780791885
2014-06-01,41707.03,18818.27,16100.18,6788.58,113904.56,51282.09,48044.14,14578.33,366.1576849952276,366.9559879482291,335.11225302399004,465.6623906853529,47.60049904937959,47.704278433269785,43.56459289311871,60.53611078909588,99,98,98,88,51,49,49,43,100055.06760000001,50492.5124,37938.0484,11624.5068,1824155.0,9168.0,5.838853289668778,120828.0,286.73333333333335,5008.0,120.66449133922227,82.15284743621149,465.0,418.0,18.804570596046982,16.86841711684996,1509125.0,8374.0,1509125.0,8374.0,1509125.0,8374.0,7.9937081780791885,7.9937081780791885,7.9937081780791885
2014-07-01,39411.45,19119.68,13524.66,6767.11,108255.48,52894.41,40794.94,14566.13,364.0596300529082,361.4688206182846,331.5278806636313,464.5784432790316,47.32775190687806,46.990946680377,43.09862448627207,60.39519762627411,99,98,98,87,51,50,50,42,136980.2053,69276.9855,56397.2488,11305.971000000001,1824155.0,9168.0,5.838853289668778,120828.0,286.73333333333335,5008.0,120.66449133922227,82.15284743621149,465.0,418.0,18.804570596046982,16.86841711684996,1509125.0,8374.0,1509125.0,8374.0,1509125.0,8374.0,7.9937081780791885,7.9937081780791885,7.9937081780791885
2014-08-01,42251.16,20846.41,14696.1,6708.65,117166.63,58822.06,44227.11,14117.46,360.60745282167795,354.397822857615,332.28714243367926,475.2023380976465,46.878968866818134,46.07171697148995,43.197328516378306,61.77630395269404,98,98,98,88,51,50,49,43,114196.28760000001,60847.7071,40862.0614,12486.5191,1824155.0,9168.0,5.838853289668778,120828.0,286.73333333333335,5008.0,120.66449133922227,82.15284743621149,465.0,418.0,18.804570596046982,16.86841711684996,1509125.0,8374.0,1509125.0,8374.0,1509125.0,8374.0,7.9937081780791885,7.9937081780791885,7.9937081780791885
2014-09-01,39854.02,18054.97,15526.56,6272.48,109177.58,48274.91,47574.08,13328.58,365.03849966265966,374.00318301991655,326.3659538975846,470.603770244092,47.45500495614576,48.620413792589154,42.427574006685994,61.17849013173196,98,98,98,88,52,52,52,43,156901.9071,72990.1055,70120.15090000002,13791.650700000002,1824155.0,9168.0,5.838853289668778,120828.0,286.73333333333335,5008.0,120.66449133922227,82.15284743621149,465.0,418.0,18.804570596046982,16.86841711684996,1509125.0,8374.0,1509125.0,8374.0,1509125.0,8374.0,7.9937081780791885,7.9937081780791885,7.9937081780791885
2014-10-01,41766.94,19654.8,15555.88,6556.27,115939.43,55182.76,46735.73,14020.93,360.24793290772607,356.1764580097117,332.84769490066805,467.6059291359418,46.83223127800439,46.302939541262525,43.27020033708685,60.78877078767243,96,96,96,88,53,52,51,44,173476.4594,72860.82819999999,88093.6869,12521.9443,1824155.0,9168.0,5.838853289668778,120828.0,286.73333333333335,5008.0,120.66449133922227,82.15284743621149,465.0,418.0,18.804570596046982,16.86841711684996,1509125.0,8374.0,1509125.0,8374.0,1509125.0,8374.0,7.9937081780791885,7.9937081780791885,7.9937081780791885
2014-11-01,39202.58,17802.9,15573.6,5826.09,106807.63,47818.51,46483.45,12505.66,367.03913381469096,372.30143724679,335.03537280472943,465.8762512334415,47.715087395909826,48.3991868420827,43.55459846461483,60.5639126603474,98,98,98,90,52,52,51,43,147853.28230000002,67682.58300000001,69162.4233,11008.276000000002,1824155.0,9168.0,5.838853289668778,120828.0,286.73333333333335,5008.0,120.66449133922227,82.15284743621149,465.0,418.0,18.804570596046982,16.86841711684996,1509125.0,8374.0,1509125.0,8374.0,1509125.0,8374.0,7.9937081780791885,7.9937081780791885,7.9937081780791885
